Этаж,Средняя цена,Количество квартир
1,181197.12904678148,235
2,200054.5150391839,588
3,197058.56501728648,872
4,206755.15857097364,949
5,208642.09789894617,876
6,213620.81749058818,802
7,219149.5303243075,759
8,217291.3830829932,643
9,218588.23258725172,604
10,212030.10856026295,553
11,213094.73584355388,457
12,211672.9267031881,438
13,215104.66430452594,398
14,231031.89658663285,362
15,234276.52857444278,287
16,222327.410321282,290
17,219896.4147641008,256
18,230055.47740269735,185
19,229093.75251197885,121
20,244087.21346452634,68
21,243138.00909869597,59
22,289708.5859883191,54
23,277347.73904932814,25
24,262331.0966424969,53
25,270813.2329975531,34
26,313255.14964756154,18
27,238152.82740743255,5
28,310932.4928469996,3
31,117647.46100182256,1
32,245640.18876183615,2
33,389554.06353963056,1
37,269113.58424784447,1
42,411691.5047664268,1
